termo_busca,texto_afirmacao,data_claim,fonte,url_checagem,avaliacao_original,data_publicacao
PT,Assessores do PT ganharam R$ 120 milhões na Mega-Sena da virada de 2026,,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/01/05/assessores-do-pt-ganharam-r-120-milhoes-na-mega-sena-em-2019.htm,Distorcido,
PT,Grupo de assessores do PT ganhou R$ 120 milhões na Mega da Virada 2025,2026-01-02T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/grupo-de-assessores-do-pt-nao-ganhou-premio-de-r-120-milhoes-na-ultima-mega-da-virada/,falso,2026-01-02T00:00:00Z
PT,Lula defende sacrificar pobres para conter crise causada pelo PT,2025-12-06T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.87TK7ZR,Enganoso,2025-12-11T14:45:00Z
PL,Lei antifacção reduz pena para traficantes,2025-11-05T00:00:00Z,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/reducao-de-pena-proposta-pela-uniao-no-pl-antifaccao-ja-e-prevista-em-lei-e-penas-devem-aumentar/,Enganoso,2025-11-14T00:00:00Z
PL,Projeto de lei que criminaliza a misoginia proíbe interromper a palavra de mulheres,2026-03-27T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/trecho-formas-misoginia-projeto-lei/,falso,2026-03-27T00:00:00Z
PL,"Nikolas Ferreira compartilha trecho do PL nº 896/2023 que pune ""interrupção da palavra""",2026-03-26T17:18:35Z,Estadão,https://www.estadao.com.br/estadao-verifica/nikolas-ferreira-trecho-projeto-de-lei-criminaliza-misoginia-enganoso/,Enganoso,
PL,Entenda como vai funcionar o PL da misoginia,2026-03-25T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.A6D739E,Enganoso,2026-03-31T22:10:00Z
PL,PL da Anistia é aprovado pela Câmara dos Deputados,2025-11-27T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.86UK6NR,Enganoso,2025-12-02T17:27:00Z
PL,PL do Streaming cria imposto para quem usa rede social,2024-05-24T18:03:41Z,Estadão,https://www.estadao.com.br/estadao-verifica/pl-streaming-imposto-redes-sociais/,Enganoso,
PL,PL da Dosimetria anistia Bolsonaro e condenados pelo 8 de Janeiro,2025-12-10T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/pl-da-dosimetria-nao-anistia-bolsonaro-condenados-8-de-janeiro/,falso,2025-12-10T00:00:00Z
PL,"Motta aprovou o regime de urgência para um projeto que autoriza Lula a derrubar redes sociais por completo, com o argumento de proteger crianças",2025-08-19T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.72LN9NQ,Enganoso,2025-08-27T17:36:00Z
PL,Lei ‘antifacção’ reduz pena para 1 ano e 8 meses para membros de facções,2025-11-04T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.84EW39E,Enganoso,2025-11-18T19:52:00Z
PL,Quem recebe Bolsa Família não vai mais poder fazer o saque do dinheiro,2026-01-17T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.93K74T3,Falso,2026-01-21T20:38:00Z
pix imposto,Movimentações financeiras acima de R$ 5 mil pagam IR,2025-10-27T19:25:09Z,Estadão,https://www.estadao.com.br/estadao-verifica/nova-regra-2026-imposto-renda-pix-275/,Enganoso,
pix imposto,Nova regra da Receita Federal monitora automaticamente todas as transações Pix e cruza os dados diretamente com a declaração de Imposto de Renda para identificar inconsistências financeiras.​,2025-12-08T17:10:06Z,Estadão,https://www.estadao.com.br/estadao-verifica/receita-federal-nao-monitora-pix-individual-automaticamente-enganoso/,Enganoso,
pix imposto,governo criou im posto pra quem movimenta R$ 5 mil por mês,2025-09-23T12:19:05Z,Estadão,https://www.estadao.com.br/estadao-verifica/falso-movimentacao-acima-5-mil-pix-imposto-flavio-bolsonaro/,Falso,
pix imposto,Nikolas Ferreira estava certo quando falou sobre monitoramento do Pix em 2025,2026-01-16T15:57:38Z,Estadão,https://www.estadao.com.br/estadao-verifica/nikolas-ferreira-video-monitoramento-pix-2026-enganoso/,Enganoso,
pix imposto,"Quem movimenta acima de R$ 5 mil vai ter que pagar alíquota de 27,5%",2025-01-10T17:01:39Z,Estadão,https://www.estadao.com.br/estadao-verifica/quem-movimentar-mais-de-5-mil-pix-pagara-imosto-de-renda-de-275-enganoso/,Enganoso,
pix imposto,Pessoas que realizarem movimentações financeiras que ultrapassem 5 mil reais por mês terão que informar a Receita Federal.,2025-01-13T18:10:09Z,Estadão,https://www.estadao.com.br/estadao-verifica/pessoas-fisicas-obrigadas-declarar-movimentacao-pix-5-mil-falso/,Falso,
pix imposto,Governo criou multa ou taxa para Pix acima de R$ 5 mil,2025-01-09T19:57:52Z,Estadão,https://www.estadao.com.br/estadao-verifica/taxa-imposto-5-mil-pix-enganoso/,Enganoso,
pix imposto,Jornal Nacional diz que novas regras da Receita permitem monitorar individualmente transações via Pix,2026-01-13T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/receita-nao-vai-monitorar-transacoes-pix-aproximacao-individualmente/,falso,2026-01-13T00:00:00Z
pix imposto,"Governo vai taxar em 27,5% transações financeiras acima de R$ 5.000",2025-12-30T00:00:00Z,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-governo-vai-taxar-em-275-transacoes-financeiras-acima-de-r-5000/,falso,2025-12-30T00:00:00Z
pix imposto,Nova regra do Pix: Movimentações acima de R$ 5 mil vão ser taxadas em 2026,2025-10-22T00:00:00Z,AFP Checamos,https://checamos.afp.com/doc.afp.com.82A79KE,Falso,2025-10-28T17:49:00Z
